OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
110,eez,202,Tanzania,TZA,243129.576634,66.6,80.94,68.34,84.12,47.95,100,43.1,42.95,76.67,62.54,67.09,100,100,100,0.21,71.54,81.27,85.2,27.18,0.15,248140381401.928,2686323.39745273
111,eez,203,India,IND,1637705.82252,50.78,89.6,97.4,86.88,22.7,100,36.32,33.21,95.33,55.7,58.68,69.42,38.83,24.25,12.15,44.23,39.98,83.87,52.59,0.19,1752229383923.75,12467050.3689762
112,eez,204,Bangladesh,BGD,84563.2563621,59.86,88.83,100,99.77,23.67,99.95,22.85,22.83,94.52,65.24,66.36,99.98,100,59.8,22.57,95.01,62.52,83.13,11.14,1.3,97752321340.1289,2305623.83926936
113,eez,205,Myanmar,MMR,514147.233008,49.08,88.89,92.77,89.04,46.92,94.15,10.95,10.8,93.35,58.45,62.97,97.08,100,38.73,4.57,81.46,48.59,84.44,25.05,1.19,559842705772.207,6531772.43678819
114,eez,206,Malaysia,MYS,451796.70162,82.9,86.87,93.73,84.45,64.15,71.55,31.92,31.44,87.3,57.38,63.51,79.4,87.24,16.33,14.6,21.58,36.86,86.45,53.72,-0.3,459394644868.091,9573675.8853102
115,eez,207,Vietnam,VNM,647232.077085,55.76,85.74,89.03,60.84,41.5,86.39,11.82,19.26,85.66,64.72,57.04,74.24,62.08,84.55,48.47,27.19,74.63,85.82,42.17,0.62,681576485398.149,7333558.65905396
116,eez,208,Singapore,SGP,762.687331733,100,80.89,82.37,83.18,47.97,100,47.14,39.9,76.16,66.68,63.18,96.36,92.71,0.79,3.32,4.63,33.73,85.62,62.8,0.05,726324675.716675,208839.304407382
117,eez,209,China,CHN,878363.96899,81.91,81.52,69.65,52.68,29.76,99.63,33.93,76.82,74.88,61.25,60.44,96.52,93.42,10.27,100,34.65,35.76,88.17,45.09,-0.02,1180375820836.29,16986990.7926942
118,eez,21,North Korea,PRK,115967.30285,76.99,88.09,93.56,0,50.84,48.35,10.16,32.34,96.56,64.78,58.61,70.17,91.98,0.12,52.98,83.05,32.45,79.63,0,0.54,198393836649.539,3574260.74191011
119,eez,210,Japan,JPN,4040612.34213,93.13,90.36,99.95,95.32,62.33,100,44.83,42.25,96.05,64.89,67.59,78.29,56.58,100,34.41,8.3,82.44,84.67,23.55,-0.59,5414662319456.56,31425818.7185749
120,eez,212,Kiribati,KIR,1055117.01701,54.64,82.87,99.49,86.86,27.96,100,46.29,46.29,88.36,64.47,59.21,89.31,78.62,0,0.02,3.74,32.23,77.39,68.69,-1.32,1053299445561.55,4795309.08207553
121,eez,214,Egypt,EGY,236612.008503,74.24,88.15,97.14,85.43,49.5,100,33.68,29.42,97.61,57.41,69.54,97.83,95.67,71.14,25.68,77.3,64.28,78.68,32.08,0.5,322193174854.067,5688581.61486013
123,eez,216,Indonesia,IDN,5947885.10452,57.22,84.04,87.33,66.78,55.77,99.4,50,47.41,81.88,64.06,66.99,71.41,43.43,63.69,26.49,92.61,63.88,86.2,43.43,0.64,6050648095927.89,55172914.9320719
124,eez,218,Canada,CAN,5698085.41588,97.53,90.56,97.34,54.65,93.82,100,49.96,53.14,93.75,69.46,72.05,90.52,81.05,27.85,75.27,39.39,48.66,87.37,54.89,-0.31,67120647161906.9,331599633.970879
125,eez,219,Saint Pierre and Miquelon,SPM,12367.3042162,98.52,90.84,0,0,83.7,64.3,56.17,56.14,100,67.7,71.3,82.12,99.95,11.99,2.39,0,39.84,81.68,47.94,-0.25,25529488773.2988,1503570.30387153
126,eez,220,Sint Maarten,SXM,497.50356338,92.06,94.1,100,100,49.5,84.58,17.7,17.7,96.23,72.01,70.27,90.47,96.36,45.84,0,0,58.92,91.96,100,-1.75,614007978.543945,106553.50650721
127,eez,221,Northern Saint-Martin,MAF,5386.64764732,87.14,95.68,95.26,100,45.39,85.28,20.23,20.23,96.65,73.09,80.12,90.82,96.36,100,0,0,86.55,94.7,100,0.08,4638461668.2168,428819.533990748
128,eez,222,Sweden,SWE,154980.513265,98.02,84.88,57.96,61.31,62.81,100,77.63,76.82,86.9,89.26,69.08,100,100,83.03,3.19,17.11,86.14,82.85,45.77,0.17,630825359314.315,12914083.5682348
129,eez,223,Norway,NOR,1716658.86486,100,86.51,53.22,0,76.89,78.64,69.88,76.29,92.89,65.03,77.45,82,85.37,88.57,100,61.29,76.8,80.14,84.07,-0.16,29338208969738.3,82277036.0745368
130,eez,224,Chile,CHL,3657312.86523,87.75,90,0,0,93.97,100,65.18,75.9,100,68.56,74.05,100,100,92.53,100,26.26,80.54,79.99,37.97,0.12,6201430402781.63,53297571.6752252
131,eez,227,Jersey,JEY,2962.10397851,96.3,82.24,54.89,54.79,52.41,88.03,59.71,59.71,81.51,75.32,68.36,86.89,85.75,83.22,0,0,79.27,82.97,48.71,0.17,6151551204.38867,378580.690715879
132,eez,228,Guernsey,GGY,8672.6488605,96.3,79.66,54.38,54.3,56,88.02,62.34,62.34,76.78,75.31,65.38,86.89,85.75,23.31,0,0,49.31,82.53,49.21,0.68,20904875470.2535,574799.963689408
133,eez,231,East Timor,TLS,40225.6748096,55.38,83.11,86.28,84.63,51.46,0.05,43.81,43.8,82.28,66.18,60.14,27.55,55.04,53.98,0.01,0,60.08,83.94,48.99,0.02,39943437933.498,1519091.21398909
135,eez,237,Oecussi Ambeno,TLS,2275.55962631,67.71,77.34,77.82,41.85,62.57,89.49,56.2,56.2,71.49,65.86,62.56,75.72,61.96,34.45,0,0,50.16,83.18,53.65,0.44,2371080054.97754,197116.180433288
136,eez,24,Cambodia,KHM,47966.8393766,66.57,88.47,78.9,75.4,52.24,100,14.79,14.91,90.23,48.73,60.42,74.55,49.11,57.13,23.38,0.4,52.93,86.71,99.81,0.12,51027144633.0771,1181719.27624868
137,eez,244,Curacao,CW,30535.0207162,78.33,92.24,99.96,89.91,69.16,79.96,51.23,51.23,96.93,74.15,74.51,72.71,65.45,37.63,0,35.71,55.89,87.55,100,-0.41,32058623023.1523,1114662.60878621
138,eez,245,Bonaire,BQ,13391.1657371,78.95,93.38,99.59,97.16,68.19,80.25,36.1,36.1,97.95,78.51,71.56,72.97,65.7,59.93,0,0,69.22,88.8,100,-1.54,14211814907.9912,762725.213040122
139,eez,247,Brunei,BRN,25698.4627065,100,90.04,97.36,86.88,57.09,76.37,32.83,32.51,94.29,58.7,61.86,78.55,80.74,26.13,6.16,0,42.41,85.79,33.72,-0.32,26367276734.8008,802769.520856916
140,eez,248,Saba,BES,9483.7767842,79.1,97.07,100,100,62.84,79.94,20.21,20.21,100,78.94,71.63,72.62,65.3,90.02,0,0,84.48,94.14,100,-1.53,10240518594.3262,426348.184147951
141,eez,249,Sint Eustatius,ANT,2237.40364651,77.95,94.3,100,100,49.41,79.57,15.62,15.62,95.45,77.59,67.69,72.27,64.97,57.13,0,0,67.36,93.15,100,-1.55,2083651050.0625,318510.296606867
142,eez,25,Thailand,THA,306890.518478,78.16,89,82.14,78.67,53.44,100,27.08,38.5,89.49,57.42,67.53,85.72,71.44,49.84,55.32,46.38,53.63,88.51,69.7,-0.14,315631336716.939,4605772.81164519
143,eez,250,Aruba,AW,25213.9149738,92.57,93.55,99.99,99.95,57.66,100,56.39,56.39,97.95,82.76,83.04,100,100,11.82,0,0,47.29,89.15,100,-0.07,27905816233.8604,861167.978348886
144,eez,26,Andaman and Nicobar,IND,663520.443845,65.67,87.91,96.73,89.66,62.01,92.32,33.81,33.81,90.89,61.94,67.75,78.1,63.88,16.86,0,0,39.4,84.92,56.48,0.24,689041916450.81,4188525.25802123
145,eez,28,Comoro Islands,COM,165505.199256,43.82,88.39,82.89,86.2,36.74,92.98,31.61,31.61,93.94,62.17,57.81,92.52,92.07,0.33,0,0,31.25,82.84,26.83,-0.4,170750668819.824,2024832.11585067
146,eez,29,Mayotte,MYT,63362.3090544,53.75,92.54,92.81,92.61,52.9,100,23.47,23.31,96.39,53.94,64.24,100,100,100,0.73,0,76.97,88.69,57.47,-2.11,65434051020.2031,1150138.81588284
147,eez,3,Norfolk Island,NFK,432638.145983,96.97,92.12,0,0,77.94,100,42.71,42.71,100,88.26,84.25,96.35,92.7,100,0,0,94.13,84.25,89.51,0.13,558805818081.008,2678975.78550391
148,eez,30,Glorioso Islands,ATF,43699.3838589,53.95,91.49,92.79,0,92.24,96.7,32.84,32.84,93.9,66.51,77.37,95.05,93.4,100,0,0,83.25,89.07,0,-0.43,43697419604.6748,834903.837725856
149,eez,31,Seychelles,SYC,1340839.38271,78.17,91.85,86.67,100,91.42,69.93,34.99,34.99,97.6,63.71,77.27,84.97,100,59.95,0,42.81,61.83,86.1,100,-1.2,1354066918995.32,5496937.67422335
150,eez,32,Reunion,REU,316498.901323,53.21,89.56,92.79,0,68.19,84.6,29.04,29,96.39,74.46,61.33,72.04,59.48,18.9,0.02,0,46.68,82.73,39.18,-0.5,362421786712.805,2527000.41602384
151,eez,33,Juan de Nova Island,ATF,62551.237745,53.18,91.87,92.79,0,91.93,96.7,34.19,34.19,96.39,65.93,70.28,95.05,93.4,0,0,0,32.96,87.34,0,-0.46,68217729409.7437,1104096.65224395
152,eez,34,Bassas da India,ATF,122177.234713,53.07,90.72,92.79,0,92.21,0,35.08,35.08,96.39,65.91,66.14,0,0,0,0,0,32.96,85.05,0,-0.76,138057378550.922,1484678.66147841
153,eez,35,Ile Europa,ATF,125623.801672,54.1,88.6,92.79,0,93.78,0,37.29,37.29,92.79,66.01,74.93,0,0,100,0,0,83,84.4,0,-1.05,146604423356.595,1561403.17222668
154,eez,36,Ile Tromelin,ATF,271996.952725,53.21,87.35,92.79,0,91.69,0,28.22,28.22,92.79,65.84,64.36,0,0,0,0,0,32.92,81.91,0,-1.69,292606271455.964,2062202.17685405
155,eez,37,Mauritius,MUS,1280068.38699,70.9,89.29,90.07,90.32,61.29,71.24,36.59,35.48,95.18,59.27,66.47,72.2,73.17,11.11,2.17,45.58,35.19,83.4,74.39,0.14,1392730676704.11,6093236.74712967
156,eez,38,British Indian Ocean Territory,IOT,642744.718734,59.65,94.48,100,0,93.35,96.98,34.12,34.12,100,62.79,73.15,77.11,57.24,100,0,0,81.39,88.95,45.12,-0.95,647582606032.301,2922734.26191357
157,eez,39,Maldives,MDV,922110.093637,61.97,90,98.66,85.66,45.35,41.09,18.85,18.85,96.75,62.88,67.57,70.54,100,4.04,0,71.81,33.46,83.25,99.35,-1.27,923882274585.67,3712357.53184438
158,eez,4,Macquarie Island,AUS,475287.098249,96.97,94.89,0,0,98.16,0,44.59,44.59,100,74.44,84.37,0,0,100,0,0,87.22,89.78,0,0.74,1426104248582.97,4281048.10009071
159,eez,40,Sri Lanka,LKA,534085.43874,58,91.14,93.67,88.43,56.18,88.72,26.2,25.46,96.72,62.94,59.62,69.13,49.55,14.28,0.43,17.8,38.61,85.55,57.82,0.06,540568583774.071,4252341.43098252
160,eez,41,Mozambique,MOZ,574409.612416,43.49,88.23,81.3,98.85,52.71,100,16.17,16.17,90.39,63.55,60.9,100,100,85.59,0.01,35.32,74.57,86.07,18.34,0.49,664263287131.315,6386448.08161148
161,eez,42,Madagascar,MDG,1205824.80785,43.88,85.38,78.4,65.58,57.26,100,13.37,13.12,85.9,61.71,53.76,81.04,62.08,45.25,0.95,21.48,53.48,84.87,37.96,-1.07,1398340471798.53,11051223.1964219
162,eez,43,Kenya,KEN,112400.455969,61.18,87.36,72.43,92.92,45.85,100,35.46,35.46,86.89,63.36,60.57,98.96,97.92,43.05,0,30.84,53.2,87.84,27.5,-0.99,113078297492.452,1629753.28377142
163,eez,44,Somalia,SOM,784501.565749,48.47,79.3,55.67,73.03,59.51,96.68,13.04,13.04,77.25,62.13,48.23,95.04,93.4,0.04,0,27.13,31.08,81.34,0,-1.39,793376792743.511,6670096.66802211
164,eez,45,Eritrea,ERI,78827.4148463,56.72,89.96,95.85,84.56,54.6,6.69,42.61,42.61,94.74,55.2,50.64,3.43,0.16,0,0,0,27.6,85.17,51.07,-3.05,86619022471.6875,2099289.10517005
165,eez,46,Djibouti,DJI,7031.12494826,52.81,92.13,97.56,90.73,49.9,99.7,41.58,41.58,97.43,67.79,67.42,96.55,93.4,0,0,0,33.89,86.84,51.66,-0.34,7815714134.55518,545183.681637996
166,eez,47,Yemen,YEM,548013.942084,56.92,88.59,94.68,82.21,54.1,95.31,51.96,51.96,95.3,56.56,62.17,97.66,100,0.04,0,67.32,28.3,81.89,0,0.84,573130480517.949,5777447.7380371
167,eez,48,Oman,OMN,538980.214535,87.71,90.95,99.23,90.93,70.47,100,54.83,54.82,97.48,55.76,74.12,100,100,16.43,0.24,73.74,36.09,84.43,37.28,0.69,604508451046.255,5112356.61664567
168,eez,49,Sudan,SDN,66785.6409954,51.91,86.08,87.02,82.86,44.57,97.57,36.28,36.28,90.68,56.32,55.63,72.55,47.53,0,0,64.88,28.16,81.48,1.95,-0.02,76475804732.1128,1386314.51323969
169,eez,5,New Caledonia,NCL,1371802.95112,66.01,88.15,76.63,78.73,79.31,92.61,75.74,65.74,87.99,67.15,82.22,96.3,100,81.52,11.6,99.98,74.34,88.32,97.02,-0.05,1589161160405.48,7022531.58192298
170,eez,50,Saudi Arabia,SAU,220338.225317,98.96,91.05,94.02,89.6,64.49,100,36,35.86,94.95,54.85,67.21,100,100,42.76,0.75,0,48.8,87.15,49.32,-1.39,256860838165.021,5952818.51505187
171,eez,51,Kuwait,KWT,11895.8073818,100,89.83,88.17,86.81,63.18,100,32.16,32.16,94.59,54.78,71.06,100,100,61.98,0,0,58.38,85.06,21.05,-0.03,16129118785.873,767877.664887528
172,eez,52,Bahrain,BHR,7632.7802077,94.33,82.93,84.5,85.78,63.45,76.96,34.56,34.56,81.81,48.17,58.76,82.41,87.87,0,0.01,0.03,24.08,84.04,35.51,0.31,10539291665.7021,598982.404391362
173,eez,53,Pakistan,PAK,222743.962262,61.12,73.96,45.17,45,43.05,100,48.99,48.98,68.38,62.48,51.32,84.51,69.01,51.37,0.02,50.74,56.93,79.54,3.7,0.01,265592184580.421,2520114.05056814
174,eez,54,United Arab Emirates,ARE,54711.0349269,100,93.23,93.36,91.93,72.27,100,49.57,49.25,98,56.64,75.36,100,100,79.59,0.58,26.13,68.11,88.47,59.28,-0.21,65682933477.7041,1730398.82484986
175,eez,55,Azores,PRT,957293.560796,85.49,83.79,0,0,68.31,100,55.39,55.39,92.83,64.12,76.62,85.89,71.78,66.98,0,0,65.55,74.75,91.9,0.56,1548930016909.25,5106963.10851072
176,eez,56,Cape Verde,CPV,801065.130069,51.58,89.85,0,0,59.85,100,45.59,45.59,100,69.05,68.89,100,100,1.64,0,0,35.35,79.71,100,0.1,857826061066.749,3989618.48205316
177,eez,57,Madeira,PRT,455144.480941,86.22,87,0,0,71.09,94.88,61.65,61.65,95.07,64.22,80.48,83.38,71.87,100,0,0,82.11,78.93,91.9,0.53,646174371134.601,3198209.48369448
178,eez,58,Canary Islands,ESP,450010.12333,85.47,73.85,54.01,54.06,62.12,49.44,44.21,44.21,68.02,63.76,67.56,60.59,71.73,100,0,0,81.88,79.68,91.89,-0.17,577595680892.224,4816359.5073472
179,eez,59,Belgium,BEL,3465.16865703,96.44,92.12,100,100,31.18,100,61.37,61.37,98.88,67.84,70.9,81.6,63.2,100,0,33.92,83.92,85.35,28.42,-0.22,8538514777.54614,385134.298704034
180,eez,6,Vanuatu,VUT,622073.303628,46.63,89.53,94.08,87.5,64.71,100,33.7,33.68,95.04,58.92,70.1,100,100,1.07,0.08,54.98,29.99,84.01,99.85,0.81,683407150805.951,4725926.45058913
181,eez,60,Gibraltar,GIB,426.743017775,84.61,73.06,0,0,16.14,51.31,59.51,59.51,72.82,60,69.49,75.66,100,100,0,0,80,73.3,97.43,0.21,518953618.407715,123675.502585495
182,eez,61,Tunisia,TUN,100660.476623,74.04,86.62,0,0,50.05,100,44.01,40.98,100,68.54,59.44,83.47,66.95,37.49,5.12,40.88,53.02,73.24,46.42,-0.23,154389769170.614,3065524.7395781
183,eez,62,Morocco,MAR,276136.420221,65.29,87.75,0,100,52.84,100,63.19,63.17,98.01,69.12,72.31,100,100,60.16,0.18,52.19,64.64,77.49,64.93,-0.34,391154662949.265,4480849.71336108
184,eez,63,Western Sahara,ESH,252024.28218,55.26,88.67,0,0,72.56,100,44.33,44.33,100,70.52,63.98,97.21,94.42,54.28,0,0,62.4,77.35,27.45,-0.38,302858540826.078,2801942.43700882
185,eez,64,Mauritania,MRT,156197.883429,53.32,80.77,0,0,59.73,90.91,51.15,51.15,83.12,66.93,61.92,93.66,96.41,100,0,69.26,83.46,78.43,4,1.08,171547424446.991,1894851.6318506
186,eez,65,Gambia,GMB,22745.5191464,58.01,82.13,82.08,81.91,48.03,100,64.81,64.8,84.88,76.35,68.86,100,100,36.9,0.07,0,56.62,79.39,46.17,-0.03,23936808992.7798,1163444.17901858
187,eez,66,Senegal,SEN,158426.406316,53.31,70.91,30.38,33.57,45.11,99.76,64.71,64.59,62.34,71.13,58.7,99.88,100,99.21,0.51,78.11,85.17,79.49,25.96,0.47,167144180582.956,2763152.27355785
188,eez,67,Libya,LBY,357895.373458,60.11,81.55,0,0,57.05,97.4,42.55,42.55,100,63.26,42.41,66.41,35.43,0,0,0,31.63,63.09,0,0.05,508971305912.404,4139515.71033142
189,eez,68,Malta,MLT,55696.6131031,93.77,81.8,88.14,88.23,45.98,100,38.61,38.16,95.61,53.46,70.75,88.6,77.21,100,37.18,6.07,76.73,67.98,100,0.07,82287232371.9463,1395418.86035107
190,eez,69,Latvia,LVA,28879.5616489,85.6,77.44,51.84,54.41,53.95,100,83.29,83.29,73.4,95.45,72.9,90.8,81.59,100,0,89.88,97.73,81.49,44.06,1.65,96250217414.3389,2099234.29587904
191,eez,7,Solomon Islands,SLB,1609756.60808,45.34,84.03,79.54,72.99,72.47,100,43.54,43.54,83.87,61.15,65.45,100,100,9.16,0,74.06,35.15,84.19,47.38,1.28,1658505184076.01,9014599.20814583
192,eez,70,Estonia,EST,36346.3809072,92.27,89.51,100,100,72.08,100,86.8,86.8,94.79,95,75.92,75.6,51.2,100,0,0.92,97.5,84.23,44.47,-1.4,136980868993.635,3728522.9881667
193,eez,71,Bulgaria,BGR,35171.8548382,78.4,92.21,0,0,41.91,100,56.5,51.85,100,62.39,60.86,71.7,43.4,100,26.19,40.73,81.2,84.43,28.85,0.14,64848811646.4746,1172662.57550207
194,eez,72,Romania,ROU,29726.4490526,84.02,91.33,0,0,56.05,100,56.5,56.21,100,63.37,61.57,90.14,80.28,100,0.3,9.36,81.68,82.66,23.79,0.37,60286481649.0293,1224988.42084187
195,eez,73,Russia,RUS,7613131.62711,85.21,91.78,85.67,100,80.95,100,38.95,39,100,76.43,74.27,93.11,86.22,92.16,72.02,80.36,84.3,83.57,2.36,0.68,102212891695149,227659230.850326
196,eez-inland,73,Russia,RUS,60169.3915617,85.21,91.78,85.67,100,80.95,100,38.95,39,100,76.43,74.27,93.11,86.22,92.16,72.02,80.36,84.3,83.57,2.36,0.68,116396443531.818,1991771.99819857
197,eez,74,Georgia,GEO,22907.0422961,74.84,89.75,0,0,53.61,100,56.74,56.74,100,62.53,72.26,99.53,99.06,22.3,0,77.8,42.42,79.5,83.41,2.33,41325720945.7324,897055.479556413
198,eez,75,Ukraine,UKR,134873.157524,65.18,86.3,84.79,84.79,58.83,100,54.51,54.51,94.28,61.6,60.32,80.81,61.62,51.32,0.73,21.16,56.46,78.32,10.36,-1.46,268610901703.893,5551716.04714829
199,eez,76,Turkey,TUR,255925.882674,85.29,88.14,0,0,49.98,100,52.88,46.39,98.51,60.76,56.23,100,100,6.6,14.25,43.31,33.68,77.77,3.02,-0.72,434943279965.96,10001733.0039606
200,eez,77,Syria,SYR,10203.611224,83.9,82.66,0,0,38.33,100,46.52,46.52,98.18,56.62,48.41,100,100,0,0,7.58,28.31,67.15,0,-1.84,15615435011.7246,551817.648608614
201,eez,78,Lebanon,LBN,19315.8441285,68.79,82.87,0,0,30.05,100,41.58,41.58,98.42,57.14,46.25,83.13,66.26,4.21,0,16.45,30.68,67.31,16.47,-0.7,27939452274.874,727936.105137169
202,eez,79,Israel,ISR,27855.0547776,93.44,83.37,91.23,91.23,32.9,100,50.71,43.12,95.61,62.16,59.54,100,100,9.27,0.85,6.45,35.72,71.13,17.91,-0.69,38572953551.1533,782720.3231709
203,eez,8,Palau,PLW,608166.958988,59.93,84.84,91.71,64.55,75.01,100,60.54,60.42,87.93,62.08,64,83.22,66.44,28.2,1.64,0.07,45.14,81.75,75.14,-0.96,615409828521.315,3188013.61636431
204,eez,80,Greece,GRC,494172.449687,83.39,86.58,0,0,61.27,66.24,52.86,43.88,100,67.76,66.73,64.35,62.45,98.41,29.25,11.27,83.08,73.17,100,-1.17,770789012370.688,11453212.7324151
205,eez,81,Cyprus,CYP,98279.5047122,93.33,84.3,0,0,53.2,69.12,53.69,36.34,100,58.24,55.62,66.89,64.67,23.34,14.43,0.6,40.79,68.59,69.52,-0.04,144568402086.665,2314223.92877896
206,eez,82,Albania,ALB,11199.391813,75.53,86.73,0,0,57.28,100,46.17,43.73,100,62.61,61.88,100,100,70.66,2.59,3.17,66.63,73.47,61.95,0.33,20389985806.1992,896436.640977781
207,eez,84,Algeria,DZA,128992.992314,75.44,79.91,0,0,40.47,100,61.23,61.05,96.79,62.16,51.17,100,100,6.23,0.09,0,34.19,63.03,18.32,-0.18,205797693158.947,2900958.66107828
208,eez,85,Ascension,ASC,444512.2526,97.04,88.46,0,0,87.93,89.7,48.31,48.31,95.54,61.84,70.84,87.73,85.75,27.94,0,0,44.89,81.38,41.52,0.58,447994783240.107,2382938.68294144
209,eez,86,Saint Helena,SHN,447451.222696,97.04,89.32,0,0,93.56,25.57,42.15,42.15,94.69,61.98,62.71,44.02,62.48,0,0,0,30.99,83.96,41.89,0.08,479269130449.253,2464056.0969662
210,eez,88,Tristan da Cunha,TAA,755781.901791,97.04,87.03,0,0,89.26,90.04,36.17,36.17,97.19,62.2,67.17,87.9,85.75,0,0,0,31.1,76.87,41.66,0.37,1232947311416.93,4178399.53899036
211,eez,89,South Georgia and the South Sandwich Islands,SGS,1445884.27755,90.29,94.55,0,0,98.89,0,49.69,49.69,100,71.79,83.86,0,0,100,0,0,85.9,89.1,0,0.22,4644419986037.74,9980461.18609457
212,eez,9,Micronesia,FSM,3011912.45243,47.36,87.67,97.61,92.81,57.62,48.88,54.48,54.48,97.45,56.54,62.76,62.89,76.91,3.31,0,28.21,29.93,77.9,69.01,-0.33,3046474227141.92,9007428.29408021
213,eez,90,Prince Edward Islands,ZAF,473182.389014,82.79,91.39,0,0,84.71,0,46.8,46.8,100,50.58,76.2,0,0,100,0,0,75.29,82.77,0,0.51,1001546623387.18,3646532.228531
214,eez,91,Crozet Islands,ATF,574392.106966,90.01,86.15,0,0,96.69,0,39.38,39.38,0,51.34,77.58,0,0,100,0,0,75.67,86.15,0,0.24,1196402726449.13,4024524.56344181
215,eez,92,Amsterdam Island and Saint Paul Island,ATF,509821.937106,89.77,89.4,0,0,90.84,0,32.9,32.9,100,51.06,75.69,0,0,100,0,0,75.53,78.8,0,-1.73,820642410231.441,3232928.30448208
216,eez,93,Kerguelen Islands,ATF,567172.356583,89.95,93.84,0,0,98.78,0,91.4,91.4,100,51.38,89.93,0,0,100,0,0,75.69,87.69,0,0.52,1310369798403.39,5698198.83268619
217,eez,94,Heard and McDonald Islands,HMD,416111.00936,90.73,95.3,0,0,99.71,0,93.25,93.25,100,44.69,90.27,0,0,100,0,0,72.35,90.6,0,0.25,1168126807652.27,4146379.13596886
218,eez,95,Falkland Islands,FLK,549091.665029,97.04,93.44,0,0,98.96,17.85,76.3,76.3,100,71.86,71.78,40.63,63.41,2.78,0,0,37.32,86.88,58.75,-0.04,1427365249312.97,6944575.29015731
219,eez,96,Sierra Leone,SLE,160452.573952,57.66,66.74,31.55,32.61,42.05,97.96,78.03,78.03,55.94,63.22,47.53,75.91,53.86,1.54,0,0,32.38,77.53,10.88,0.36,164627524293.722,2014262.51355595
220,eez,97,Liberia,LBR,247767.678994,42.66,73.13,34.56,34.5,48.38,100,53.47,53.47,68.57,66.65,52.86,100,100,41.2,0,0,53.93,77.7,35.09,0.7,247206123712.785,2059416.61032122
221,eez,98,Togo,TGO,15521.3101546,43.07,78.65,99.33,99.13,15.08,100,47.86,47.86,82.07,69.45,59.84,100,100,0,0,0,34.73,75.23,20.74,-0.08,15902188879.901,828337.757057462
222,eez,99,Benin,BEN,30419.2686251,44.29,80.74,99.92,99.8,16.67,100,44.22,44.22,84.58,68.58,55.23,66.9,33.79,0,0,0,34.29,76.89,10.23,0.02,30831857560.376,899824.717014737
